Category,CQs
,"CQ14: How to apply ""Sodium hypochlorite"" to control (Fusarium wilt disease)?"
,"CQ15: For which disease or pest ""Methyl Bromide"" used?"
,"CQ16: What is ""Metalaxyl-M"" and for which disease or pest  used?"
,"CQ17: What is the suitable chemical control of
(Graphiola leaf spot disease)?"
,"CQ18: What is the suitable cultural control of
(Graphiola leaf spot disease)?"
,CQ19: What is the suitable biological control of a (Longhorn date palm stem borer damage)?
,CQ20: What is the application rate  and method of “Methidathion” to control (Rhynchophorus Ferrugineus)?
Symptom,CQ1: What are the possible symptoms associated with (Fusarium wilt disease)?
,CQ2: What are the possible symptoms associated with (Red palm weevil damage)?
,CQ3: What are the possible symptoms associated with (Inflorescence rot disease)?
,CQ4: What are the possible symptoms associated with (Back Scorch disease)?
,CQ5: What are the possible symptoms associated with (Graphiola leaf spot disease)?
,CQ6: What are the most common general symptoms of plant disease or pest damage?
,"CQ7: What is the “Die_Back” symptom means?
"
,"CQ8: What is the “Blight” symptom means?
"
,CQ9: What is the “Discolouration” symptom means?
,CQ10: What is the “Scorch” symptom means?
,"CQ11: What are the distinct characteristics of ""Wilting"" symptom?"
,"CQ12: What are the distinct characteristics of "" Scorch"" symptom?"
,"CQ13: What are the distinct characteristics of "" Shot_Hole"" symptom?"
,"CQ14: What are the distinct characteristics of ""Gummosis” symptom?"
,"CQ15: What are the distinct characteristics of "" Blight” symptom?"
Causal Agent,CQ1: What is the scientific name of major agents of (Inflorescence rot disease)?
,CQ2: What is the scientific name of major agents of (Black scorch disease)?
,CQ3: What is the scientific name of major agents of (Ganoderma butt rot disease)?
,CQ4: What is the scientific name of major agents of (Anthracnose disease of date palm)?
,CQ5: What is the scientific name of major agents of (Diplodia leaf-base disease)?
,CQ6: What is the scientific name of major agents of (Fusarium wilt disease)?
,CQ7: What is the scientific name of major agents of (Reddish brown parallel spot disease)?
,CQ8: What is the scientific name of major agents of (Date palm Dubas bug damage)?
,CQ9: What is the scientific name of major agents of (Lesser date moth damage)?
,CQ10: What is the scientific name of major agents of (Palm frond borer damage)?
,CQ11: What is the scientific name of major agents of (Longhorn date palm stem borer damage)?
,CQ12: What is the scientific name of major agents of (Mealy bugs damage)?
,CQ13: What are the most common type of biotic factors that contribute to the emergence of a plant disease/damage?
,CQ14: What are the environmental factors that contribute to the emergence of (Inflorescence rot disease)?
,CQ15: What are the environmental factors that contribute to the emergence of (Black scorch disease)?
,CQ16: What are the environmental factors that contribute to the emergence of the insect (Rhynchophorus Ferrugineus)?
,CQ17: What are the agricultural practices that contribute to the emergence of (Fusarium wilt disease)?
,CQ18: What are the agricultural practices that contribute to the emergence of the insect (Red palm weevil damage)?
,"CQ19: What is the transmission mode of ""Fusarium Oxysporum Schlecht"" fungi that cause fusarium wilt disease?"
,"CQ20: What is the transmission mode of the insect ""Rhynchophorus_Ferrugineus"" ?"
Others,"CQ1: What is the active time of the insect ""Rhynchophorus_Ferrugineus"" ?"
,CQ2: What is the expected outbreak time of (Inflorescence rot disease)?
,CQ3: What varieties or cultivars are most susceptible to (Black scorch disease)?
,CQ4: What varieties or cultivars are most susceptible to (Fusarium wilt disease)?
,CQ5: What varieties or cultivars are most susceptible to (Inflorescence rot disease)?
,CQ6: What varieties or cultivars are most susceptible to (Graphiola leaf spot disease)?
,CQ7: What are the possible affected plant parts by (Graphiola leaf spot disease)?
,CQ8: What are the possible affected plant parts by (Inflorescence rot disease)?
,CQ9: What are the possible affected plant parts by (Red palm weevil damage)?
,CQ10: What are the possible affected plant parts by (Longhorn date palm stem borer damage)?
