able : The results of the domain experts' evaluation (Disease/Pest category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ7,5.82,1.08,83.12,Agree,11
CQ8,6,0.53,85.71,Strongly agree,5
CQ9,6.18,0.6,88.31,Strongly agree,1
CQ10,5.89,0.6,84.13,Agree,10
CQ11,6,0.58,85.71,Strongly agree,5
CQ12,5.6,0.55,80,Agree,13
CQ13,5.9,0.74,84.29,Agree,9
CQ14,6.11,0.6,87.3,Strongly agree,4
CQ15,6,0.76,85.71,Strongly agree,5
Symptom of Disease/Pest,5.87,0.84,83.84,Agree,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
,,,,,
,,,,,
Table : The results of the domain experts' evaluation (Causal Agents category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,5.17,1.6,73.81,Agree,20
CQ2,6,-,85.71,Strongly agree,10
CQ3,5.33,0.82,76.19,Agree,19
CQ4,5.86,0.9,83.67,Agree,15
CQ5,5.86,0.9,83.67,Agree,15
CQ6,6,1.07,85.71,Strongly agree,10
CQ7,5.5,0.93,78.57,Agree,18
CQ8,6,1.22,85.71,Strongly agree,10
CQ9,6,1.15,85.71,Strongly agree,10
CQ10,6.1,1.2,87.14,Strongly agree,9
CQ11,6.4,0.7,91.43,Strongly agree,2
CQ12,6.2,0.79,88.57,Strongly agree,6
CQ13,6.5,0.71,92.86,Strongly agree,1
CQ14,6.25,0.46,89.29,Strongly agree,4
CQ15,6.13,0.35,87.5,Strongly agree,8
CQ16,6,0.63,85.71,Strongly agree,10
CQ17,6.25,0.46,89.29,Strongly agree,4
CQ18,6.27,0.65,89.61,Strongly agree,3
CQ19,5.75,0.46,82.14,Agree,17
CQ20,6.18,0.6,88.31,Strongly agree,7
Causal Agents,6.13,0.55,87.53,Strongly agree,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
,,,,,
,,,,,
Table : The results of the domain experts' evaluation (Others category).,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,5.25,1.06,75,Agree,8
CQ2,5.63,0.52,80.36,Agree,5
CQ3,5.13,0.83,73.21,Agree,9
CQ4,5.38,0.74,76.79,Agree,7
CQ5,5.5,0.93,78.57,Agree,6
CQ6,4.88,0.83,69.64,Somewhat agree,10
CQ7,5.86,0.38,83.67,Agree,3
CQ8,5.67,1.03,80.95,Agree,4
CQ9,6,0.74,85.71,Strongly agree,1
CQ10,6,0.89,85.71,Strongly agree,1
Others,5.67,0.64,81.04,Agree,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
,,,,,
,,,,,
D. Results of evaluation by domain experts for enhanced reasoning CQs,,,,,
,,,,,
Table X: The results of the domain experts' evaluation (Enhanced Reasoning CQs category).,,,,,
,,,,,
Question,Mean,SD,relative weight (%),Degree#,Rank
CQ1,6.45,0.52,92.14,Strongly agree,1
CQ2,6.36,0.67,90.86,Strongly agree,3
CQ3,6.18,0.75,88.29,Strongly agree,5
CQ4,6.27,0.65,89.57,Strongly agree,4
CQ5,6.09,0.7,87,Strongly agree,7
CQ6,6,0.89,85.71,Strongly agree,9
CQ7,5.82,1.04,83.14,Agree,12
CQ8,5.91,0.92,84.43,Agree,11
CQ9,6.36,0.5,90.86,Strongly agree,2
CQ10,6.18,0.6,88.29,Strongly agree,5
CQ11,6,0.63,85.71,Strongly agree,9
CQ12,5.73,1.1,81.86,Agree,15
CQ13,5.64,1.18,80.57,Agree,16
CQ14,5.55,1.25,79.29,Agree,17
CQ15,6.45,0.52,92.14,Strongly agree,1
CQ16,6.27,0.65,89.57,Strongly agree,4
CQ17,6.09,0.7,87,Strongly agree,7
CQ18,6.18,0.6,88.29,Strongly agree,5
CQ19,5.91,0.84,84.43,Agree,11
CQ20,5.82,1,83.14,Agree,12
Enhanced Reasoning CQs,6.05,0.79,86.43,Strongly agree,—
,,,,,
"# Strongly agree is from 100% to greater than 85.7%, agree is 85.6% to greater than 71.4%, and somewhat agree is less than 71.3% to greater than 57.1%.",,,,,
